frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0
1,-0.148961,0.226324,1.000004,-0.022560,-0.148961,0.226324,1.000004,-0.022560,219
2,-0.042615,-0.314672,1.000039,0.010466,-0.191576,-0.088348,1.000043,-0.012094,239
3,-0.021786,-0.039299,0.999920,-0.001627,-0.213362,-0.127647,0.999964,-0.013721,262
4,-0.026779,0.013824,0.999870,0.013191,-0.240142,-0.113823,0.999833,-0.000530,226
5,0.169521,0.186725,0.999675,-0.003708,-0.070621,0.072902,0.999508,-0.004238,251
6,0.110795,-0.055044,0.999921,0.006799,0.040174,0.017858,0.999429,0.002561,252
7,0.002768,0.089651,1.000121,-0.009074,0.042942,0.107509,0.999550,-0.006513,195
8,-0.121815,0.037198,1.000164,0.000679,-0.078873,0.144707,0.999714,-0.005834,257
9,-0.133572,0.086431,1.000145,0.001023,-0.212445,0.231138,0.999858,-0.004811,277
10,0.023160,-0.426683,1.000187,0.019992,-0.189285,-0.195545,1.000046,0.015181,256
11,0.049941,-0.058768,0.999953,0.002931,-0.139344,-0.254313,0.999999,0.018112,297
12,-0.236565,-0.024626,1.000373,-0.003095,-0.375910,-0.278939,1.000372,0.015017,278
13,0.023571,-0.050160,1.000073,0.002146,-0.352339,-0.329099,1.000445,0.017163,309
14,-0.090259,0.202903,1.000086,-0.017551,-0.442598,-0.126196,1.000532,-0.000388,301
15,0.226911,-0.179724,0.999970,0.021661,-0.215687,-0.305920,1.000502,0.021273,269
16,-0.055454,0.005309,1.000042,0.000929,-0.271141,-0.300611,1.000544,0.022202,242
17,-0.043088,-0.089398,1.000053,0.011861,-0.314229,-0.390009,1.000597,0.034063,246
18,0.116715,0.019650,0.999898,-0.004664,-0.197514,-0.370359,1.000495,0.029399,234
19,-0.070739,0.183089,1.000008,-0.013482,-0.268253,-0.187271,1.000503,0.015917,208
20,0.009155,0.068963,0.999999,-0.004860,-0.259098,-0.118308,1.000503,0.011057,187
21,0.378412,0.439859,0.999395,-0.010919,0.119314,0.321552,0.999898,0.000138,179
22,0.157203,0.156734,0.999703,0.007644,0.276516,0.478286,0.999601,0.007782,204
23,-0.020700,-0.145628,1.000274,0.010282,0.255817,0.332658,0.999874,0.018065,204
24,0.197769,-0.164533,0.999951,0.019005,0.453586,0.168125,0.999826,0.037069,183
25,0.142624,-0.340964,0.999888,0.033353,0.596209,-0.172839,0.999713,0.070422,174
26,0.015064,0.202525,0.999874,-0.016238,0.611274,0.029685,0.999587,0.054184,155
27,0.105780,0.398332,0.999828,-0.002739,0.717053,0.428017,0.999415,0.051445,149
28,0.084817,-0.109675,1.000062,-0.001991,0.801871,0.318343,0.999477,0.049454,159
29,-0.036220,0.224442,1.000032,-0.019794,0.765651,0.542785,0.999509,0.029660,121
30,0.010392,-0.067164,1.000212,0.010189,0.776043,0.475622,0.999721,0.039849,133
31,0.044223,0.013734,1.000086,0.009957,0.820266,0.489356,0.999807,0.049806,120
32,0.021443,-0.299056,0.999990,0.011788,0.841709,0.190300,0.999797,0.061594,138
33,0.213964,-0.439723,0.999810,0.034926,1.055673,-0.249423,0.999608,0.096519,160
34,-0.268966,-0.329974,1.000193,0.019522,0.786707,-0.579397,0.999801,0.116041,178
35,-0.222023,0.609532,0.999994,-0.034307,0.564684,0.030134,0.999794,0.081734,167
36,-0.406656,0.232806,1.000090,-0.011560,0.158028,0.262940,0.999884,0.070173,177
37,0.581237,0.123672,0.999961,0.046157,0.739265,0.386612,0.999845,0.116330,136
38,-0.052484,0.095669,1.000074,-0.007146,0.686781,0.482281,0.999919,0.109184,175
39,0.125511,-0.391909,1.000143,0.034412,0.812292,0.090372,1.000062,0.143596,160
40,0.161284,-0.069747,0.999925,0.006401,0.973577,0.020625,0.999987,0.149997,170
41,-0.283455,0.174222,0.999997,-0.010554,0.690122,0.194847,0.999984,0.139443,179
42,0.044129,0.151151,0.999793,0.012183,0.734251,0.345997,0.999776,0.151626,192
43,-0.065871,0.007540,1.000221,0.001327,0.668380,0.353537,0.999997,0.152953,203
44,0.196095,-0.094367,0.999908,0.010298,0.864475,0.259170,0.999905,0.163251,159
45,-0.021860,-0.437644,1.000132,0.021938,0.842615,-0.178475,1.000037,0.185189,209
46,0.027095,0.285223,0.999933,-0.019035,0.869710,0.106748,0.999970,0.166154,171
47,0.334578,-0.017135,0.999576,0.006323,1.204288,0.089613,0.999547,0.172477,173
48,0.101456,0.072561,0.999675,-0.002715,1.305744,0.162174,0.999222,0.169761,220
49,-0.181969,0.093519,1.000015,-0.004541,1.123775,0.255693,0.999237,0.165220,241
