frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0
1,-0.757209,0.990574,1.000299,-0.084429,-0.757209,0.990574,1.000299,-0.084429,274
2,-0.706479,0.333489,1.000280,-0.038259,-1.463688,1.324063,1.000580,-0.122687,347
3,0.035772,0.557046,0.999496,-0.046875,-1.427916,1.881109,1.000076,-0.169562,323
4,-0.186947,0.481828,0.998998,-0.057253,-1.614863,2.362937,0.999074,-0.226815,259
5,0.273939,-0.072478,0.999716,0.011357,-1.340924,2.290459,0.998790,-0.215458,349
6,-0.737551,-0.099881,1.001065,-0.024249,-2.078475,2.190578,0.999853,-0.239707,323
7,0.376742,1.079725,0.999377,-0.056055,-1.701733,3.270303,0.999230,-0.295762,239
8,0.757339,-0.864217,0.999540,0.094917,-0.944394,2.406087,0.998771,-0.200845,285
9,0.336481,-0.477421,0.999817,0.040921,-0.607913,1.928666,0.998588,-0.159924,375
10,-0.411913,-0.247899,1.000546,0.010343,-1.019826,1.680768,0.999133,-0.149581,362
11,-0.026669,-0.064677,1.000113,0.001393,-1.046494,1.616091,0.999246,-0.148189,401
12,-0.437855,-0.204707,1.000589,0.019312,-1.484349,1.411383,0.999834,-0.128877,382
13,0.308813,0.301702,0.999361,-0.019508,-1.175536,1.713085,0.999195,-0.148385,368
14,-0.441594,0.038419,1.000626,-0.018398,-1.617129,1.751504,0.999821,-0.166783,366
15,-0.565150,-0.109660,1.000923,0.001279,-2.182280,1.641844,1.000744,-0.165503,312
16,0.237566,-0.521077,1.000058,0.046727,-1.944714,1.120767,1.000802,-0.118777,329
17,0.055185,-0.169969,0.999584,0.036964,-1.889529,0.950798,1.000386,-0.081813,325
18,0.172423,-0.777471,0.999978,0.067329,-1.717106,0.173327,1.000363,-0.014484,303
19,-0.118129,-0.094868,0.999619,0.023293,-1.835235,0.078458,0.999982,0.008808,264
20,0.678393,1.225114,0.998499,-0.028597,-1.156842,1.303573,0.998481,-0.019789,293
21,-0.267086,0.165973,1.000143,-0.007831,-1.423928,1.469545,0.998623,-0.027620,316
22,1.708735,-0.352743,0.998681,0.096888,0.284807,1.116803,0.997307,0.069268,236
23,-1.093295,-0.204253,1.001359,-0.060373,-0.808488,0.912550,0.998662,0.008895,228
24,0.540644,1.270418,0.998223,-0.045172,-0.267844,2.182967,0.996887,-0.036277,190
25,1.323569,-0.262069,0.998205,0.066754,1.055724,1.920898,0.995097,0.030476,173
26,-0.414620,0.184429,0.999947,-0.015251,0.641104,2.105327,0.995045,0.015225,189
27,-0.184866,0.673771,0.999954,-0.034887,0.456239,2.779098,0.994999,-0.019662,179
28,0.911302,0.273654,0.998890,0.015132,1.367541,3.052752,0.993894,-0.004530,192
29,0.526641,0.020583,0.999429,0.047126,1.894182,3.073335,0.993327,0.042597,143
30,-0.564529,0.265988,1.000442,-0.036231,1.329654,3.339323,0.993766,0.006366,158
31,-1.203080,-1.117056,1.002468,0.031238,0.126573,2.222267,0.996219,0.037604,170
32,0.026628,0.037440,1.000270,0.006313,0.153201,2.259707,0.996487,0.043917,212
33,-0.250986,-0.408972,1.000774,0.022810,-0.097784,1.850735,0.997259,0.066726,208
34,0.003129,-0.647332,0.999930,0.019479,-0.094655,1.203403,0.997189,0.086206,266
35,-0.570101,0.030571,1.000899,-0.016260,-0.664756,1.233973,0.998085,0.069945,280
36,-0.133370,0.183824,0.999783,-0.014418,-0.798125,1.417797,0.997869,0.055527,292
37,-0.364914,-0.400987,1.000553,0.038807,-1.163040,1.016811,0.998421,0.094335,216
38,0.574347,-0.203934,0.999498,0.026319,-0.588693,0.812877,0.997919,0.120654,351
39,0.439212,-0.478980,1.000225,0.031545,-0.149481,0.333897,0.998144,0.152199,267
40,-0.427348,-0.394299,1.000832,0.030941,-0.576828,-0.060402,0.998974,0.183140,280
41,-0.870995,0.571873,1.000352,-0.053259,-1.447824,0.511470,0.999326,0.129881,257
42,0.081485,0.603163,0.999307,-0.048116,-1.366339,1.114633,0.998634,0.081764,281
43,-0.059331,0.729151,0.999626,-0.043851,-1.425670,1.843785,0.998260,0.037914,273
44,-0.216065,-0.310862,1.000493,-0.009137,-1.641736,1.532923,0.998752,0.028777,276
45,-0.984112,-0.839766,1.001278,0.020272,-2.625848,0.693157,1.000029,0.049048,296
46,0.100077,-0.019929,1.000084,-0.009707,-2.525771,0.673229,1.000112,0.039341,251
47,0.049198,0.065809,0.999717,0.000395,-2.476573,0.739037,0.999830,0.039736,284
48,0.214988,0.361347,0.999512,-0.018875,-2.261584,1.100384,0.999341,0.020861,322
49,-0.041117,0.332921,0.999577,-0.016874,-2.302702,1.433305,0.998919,0.003987,303
50,0.528836,-0.094600,0.999560,0.032412,-1.773866,1.338705,0.998479,0.036399,265
51,0.818683,-0.088210,0.998951,0.033989,-0.955183,1.250495,0.997432,0.070388,222
52,0.734934,-0.909819,0.999471,0.082945,-0.220249,0.340676,0.996905,0.153333,318
53,0.782949,0.461938,0.998581,-0.008065,0.562700,0.802615,0.995490,0.145268,247
54,0.100154,0.979078,0.999291,-0.067362,0.662854,1.781692,0.994784,0.077906,312
55,0.014966,1.581638,0.998092,-0.100986,0.677820,3.363330,0.992887,-0.023080,218
56,0.093025,0.331747,0.999640,-0.016935,0.770846,3.695077,0.992529,-0.040015,307
57,-0.616965,0.041715,1.000454,-0.029267,0.153881,3.736792,0.992980,-0.069282,372
58,-1.281431,0.699164,1.001609,-0.106477,-1.127550,4.435956,0.994578,-0.175759,240
59,1.160506,0.004629,0.998924,0.031388,0.032955,4.440584,0.993508,-0.144371,307
60,0.424010,-0.226349,0.999568,0.024179,0.456965,4.214236,0.993079,-0.120192,316
61,0.107126,0.319321,0.999826,-0.015563,0.564091,4.533557,0.992906,-0.135755,367
62,-0.085032,-0.035322,1.000061,-0.010867,0.479059,4.498235,0.992967,-0.146622,411
63,-0.322504,-0.142464,1.000261,-0.010339,0.156556,4.355771,0.993226,-0.156961,418
64,0.373891,-0.533581,0.999855,0.057444,0.530447,3.822191,0.993082,-0.099517,355
65,0.109600,0.352495,0.999600,-0.007913,0.640047,4.174685,0.992684,-0.107430,418
66,-0.008256,0.008558,1.000003,-0.001208,0.631791,4.183243,0.992687,-0.108638,500
67,1.394057,1.345609,0.997049,-0.012322,2.025848,5.528852,0.989758,-0.120960,297
68,-0.342210,-0.135170,1.000005,-0.020088,1.683639,5.393682,0.989763,-0.141048,354
69,0.606709,0.641680,0.999233,-0.038010,2.290348,6.035362,0.989004,-0.179058,312
70,0.329126,-0.059064,0.999567,0.021690,2.619474,5.976298,0.988576,-0.157368,330
71,-0.244698,-0.125437,1.000306,0.016709,2.374776,5.850860,0.988879,-0.140659,334
72,-0.369694,0.369790,1.000142,-0.022149,2.005083,6.220651,0.989019,-0.162807,296
73,-0.079806,0.333454,0.999894,-0.009351,1.925276,6.554105,0.988914,-0.172158,264
74,-0.505457,-0.022523,1.000309,-0.009802,1.419819,6.531582,0.989220,-0.181960,287
75,-0.483858,-0.105148,1.000706,-0.013170,0.935961,6.426434,0.989919,-0.195130,279
76,-0.690690,-0.812055,1.001428,0.012242,0.245271,5.614379,0.991333,-0.182888,255
77,-0.364887,0.801861,0.999324,-0.068071,-0.119616,6.416240,0.990662,-0.250959,299
78,0.263371,-0.856578,1.000394,0.075644,0.143755,5.559662,0.991053,-0.175315,265
79,0.327201,-0.570350,1.000364,0.055151,0.470956,4.989312,0.991413,-0.120164,271
80,0.265160,0.527507,0.998357,-0.034854,0.736116,5.516819,0.989784,-0.155018,270
81,-0.388022,1.232786,0.999179,-0.078936,0.348094,6.749605,0.988972,-0.233954,240
82,-1.032985,0.208881,1.000942,-0.038378,-0.684890,6.958486,0.989903,-0.272332,240
83,-1.190834,-0.200281,1.001233,-0.022485,-1.875724,6.758205,0.991124,-0.294817,259
84,0.355624,-0.415717,0.999623,0.033542,-1.520100,6.342488,0.990750,-0.261275,286
85,-0.274785,0.433249,0.999814,-0.035510,-1.794886,6.775737,0.990566,-0.296785,297
86,-0.020623,0.190350,0.999728,-0.030035,-1.815508,6.966086,0.990297,-0.326820,295
87,-0.372441,-0.260235,1.000572,0.019577,-2.187949,6.705851,0.990863,-0.307243,289
88,0.126426,1.114574,0.999598,-0.024745,-2.061524,7.820426,0.990465,-0.331987,253
89,-0.611714,0.447599,1.000062,-0.054013,-2.673238,8.268025,0.990527,-0.386001,338
90,-0.713799,-0.138997,1.000661,-0.025548,-3.387036,8.129028,0.991182,-0.411549,274
91,-0.160035,-0.137446,1.000320,0.017083,-3.547071,7.991582,0.991499,-0.394466,293
92,0.493846,-0.111720,0.999307,0.007320,-3.053225,7.879862,0.990812,-0.387146,261
93,-0.014033,-1.643926,1.001239,0.093721,-3.067257,6.235935,0.992039,-0.293425,309
94,-0.224014,1.577165,0.998940,-0.058731,-3.291271,7.813101,0.990988,-0.352155,291
95,-0.179209,-0.407942,1.000424,0.029366,-3.470480,7.405158,0.991408,-0.322789,284
96,-1.187683,-0.389534,1.001562,-0.042543,-4.658163,7.015624,0.992957,-0.365333,286
97,-0.530303,0.651691,1.000109,-0.053301,-5.188466,7.667314,0.993065,-0.418634,261
98,-2.222771,0.729412,1.001163,-0.172704,-7.411237,8.396727,0.994221,-0.591337,227
99,-0.376257,-0.202529,1.000996,-0.000481,-7.787494,8.194198,0.995211,-0.591818,246
100,0.132389,0.550691,0.999173,-0.011846,-7.655105,8.744889,0.994387,-0.603664,265
101,-0.086408,0.519742,0.999138,-0.011360,-7.741513,9.264631,0.993530,-0.615024,226
102,-0.004375,-0.000554,1.000004,-0.000131,-7.745887,9.264077,0.993534,-0.615155,500
103,0.256612,-0.170016,0.999565,0.037007,-7.489275,9.094061,0.993101,-0.578148,270
104,0.956348,-0.187740,0.998911,0.019141,-6.532928,8.906321,0.992020,-0.559007,232
105,0.050685,0.045198,0.999700,0.011069,-6.482242,8.951519,0.991722,-0.547939,240
106,-0.590358,0.023663,1.000819,-0.025008,-7.072601,8.975182,0.992535,-0.572946,269
107,-0.058466,0.081399,1.000013,-0.014895,-7.131066,9.056580,0.992548,-0.587841,333
108,0.406801,0.151029,0.999234,0.015705,-6.724266,9.207610,0.991788,-0.572136,288
109,0.122490,-0.291139,0.999854,0.003017,-6.601776,8.916470,0.991643,-0.569119,304
110,0.327116,-0.697027,0.999622,0.045239,-6.274659,8.219444,0.991268,-0.523880,304
111,-0.339812,-0.535730,1.000530,0.007169,-6.614471,7.683714,0.991794,-0.516711,337
112,-0.324420,0.708712,0.999768,-0.042216,-6.938891,8.392426,0.991564,-0.558927,323
113,0.219223,0.900001,0.999184,-0.044291,-6.719668,9.292427,0.990754,-0.603218,326
114,-0.883318,-0.411151,1.000833,-0.005335,-7.602986,8.881277,0.991579,-0.608554,347
115,-0.492147,-0.412190,1.000665,0.017611,-8.095134,8.469087,0.992238,-0.590943,307
116,0.027387,0.043849,0.999932,-0.008571,-8.067747,8.512935,0.992171,-0.599514,324
117,-0.250385,-0.727569,1.001188,0.017681,-8.318132,7.785367,0.993349,-0.581833,269
118,0.000530,-0.267955,1.000175,0.046025,-8.317602,7.517411,0.993523,-0.535808,280
119,-0.386593,-0.048816,1.000259,-0.036899,-8.704195,7.468595,0.993780,-0.572708,318
120,-0.226172,0.362082,1.000230,-0.024802,-8.930367,7.830677,0.994009,-0.597510,266
121,0.412024,0.506940,0.998938,0.019213,-8.518343,8.337617,0.992954,-0.578297,265
122,0.771034,0.077190,0.999014,0.042378,-7.747309,8.414807,0.991975,-0.535919,250
123,-1.216787,0.178085,1.001044,-0.052665,-8.964095,8.592892,0.993010,-0.588583,254
124,-0.104109,0.792915,0.999646,-0.054226,-9.068204,9.385807,0.992659,-0.642810,297
125,-0.351633,0.597073,0.999737,-0.027663,-9.419837,9.982880,0.992398,-0.670472,252
126,0.263251,0.061134,0.999390,-0.015603,-9.156586,10.044014,0.991792,-0.686076,294
127,-0.496272,0.542760,1.000110,-0.053635,-9.652858,10.586774,0.991901,-0.739711,287
128,-0.376664,0.678875,1.000062,-0.039854,-10.029521,11.265649,0.991963,-0.779565,181
129,0.317423,0.203791,0.999171,0.038086,-9.712098,11.469441,0.991140,-0.741479,253
130,-1.096227,-1.191044,1.001623,0.000538,-10.808325,10.278396,0.992748,-0.740941,191
131,-1.510924,-1.791217,1.002839,0.072255,-12.319249,8.487180,0.995567,-0.668686,161
132,-0.402909,0.123486,1.001618,0.016619,-12.722158,8.610666,0.997177,-0.652067,159
133,0.516041,-0.823288,0.999694,0.065674,-12.206117,7.787378,0.996872,-0.586393,307
134,-1.307510,-1.862843,1.002522,0.060635,-13.513627,5.924535,0.999386,-0.525758,255
135,0.349422,0.774468,0.998947,-0.044856,-13.164205,6.699002,0.998333,-0.570614,310
136,-1.369262,-1.345737,1.003030,0.053188,-14.533467,5.353266,1.001358,-0.517426,222
137,0.115632,0.468295,0.998820,0.004063,-14.417836,5.821561,1.000176,-0.513363,270
138,0.138260,-0.040886,0.999641,0.006652,-14.279576,5.780674,0.999818,-0.506711,299
139,-0.369884,-0.570654,1.000765,0.008220,-14.649460,5.210020,1.000582,-0.498491,293
140,-0.132488,0.102282,0.999785,-0.012803,-14.781947,5.312302,1.000366,-0.511294,255
141,-0.025069,0.024123,0.999347,-0.014823,-14.807017,5.336425,0.999713,-0.526117,253
142,0.217273,-1.087329,1.000040,0.058402,-14.589743,4.249096,0.999753,-0.467715,190
143,-0.173874,-0.889958,1.000484,0.031277,-14.763618,3.359138,1.000238,-0.436438,234
144,0.894179,0.097942,0.998496,0.006888,-13.869439,3.457079,0.998733,-0.429550,237
145,0.286906,-0.463157,0.999800,0.018252,-13.582533,2.993922,0.998533,-0.411298,231
146,-0.720624,0.523782,1.000230,-0.060087,-14.303157,3.517704,0.998763,-0.471385,265
147,-0.012576,-0.124827,1.000686,0.001314,-14.315733,3.392877,0.999448,-0.470072,265
148,-1.418853,0.044074,1.001745,-0.058428,-15.734586,3.436951,1.001193,-0.528499,248
149,0.139219,-0.314937,1.000097,0.033691,-15.595368,3.122014,1.001289,-0.494808,283
150,0.080695,-0.556532,1.000468,0.040668,-15.514673,2.565482,1.001758,-0.454141,268
151,-0.823163,-0.318996,1.001318,0.000366,-16.337836,2.246486,1.003078,-0.453775,271
152,-0.085488,0.863147,0.999580,-0.055844,-16.423324,3.109633,1.002657,-0.509618,277
153,0.599292,-0.482349,0.999673,0.063889,-15.824032,2.627284,1.002329,-0.445729,285
154,0.162811,0.614542,0.998880,-0.064494,-15.661220,3.241826,1.001206,-0.510223,157
155,-0.000984,-0.000598,1.000000,-0.000046,-15.662205,3.241229,1.001206,-0.510268,500
156,0.962441,0.150203,0.998739,0.048094,-14.699764,3.391432,0.999944,-0.462175,237
157,0.222708,0.353882,0.999381,0.001975,-14.477056,3.745314,0.999325,-0.460200,295
158,-0.773778,-0.313513,1.001243,-0.032806,-15.250834,3.431801,1.000567,-0.493006,224
159,0.199881,0.317444,0.998863,-0.020499,-15.050953,3.749245,0.999429,-0.513505,269
160,-0.780255,0.774052,1.000169,-0.085650,-15.831208,4.523297,0.999598,-0.599155,179
161,-1.994134,0.802598,1.001491,-0.153621,-17.825343,5.325895,1.001088,-0.752775,153
162,0.266065,0.371101,0.999419,-0.012487,-17.559277,5.696996,1.000507,-0.765262,141
163,-0.184434,0.332546,1.000194,0.003202,-17.743712,6.029542,1.000701,-0.762060,177
164,0.463588,-0.812063,1.000231,0.073585,-17.280124,5.217479,1.000932,-0.688476,150
165,-0.806731,0.368512,1.001131,-0.041416,-18.086855,5.585992,1.002064,-0.729891,166
166,0.795261,-0.461360,0.999391,0.046976,-17.291593,5.124632,1.001453,-0.682915,152
167,-0.472721,1.337430,0.999981,-0.089006,-17.764314,6.462062,1.001435,-0.771921,169
168,-0.543536,0.334260,1.000299,-0.072368,-18.307850,6.796322,1.001734,-0.844289,189
169,0.118999,0.294292,0.999610,-0.022231,-18.188851,7.090614,1.001343,-0.866520,206
170,-0.381254,1.109571,0.999779,-0.098164,-18.570104,8.200185,1.001122,-0.964683,204
171,-0.358647,-0.037295,1.000385,-0.019179,-18.928751,8.162890,1.001508,-0.983862,197
172,-0.111098,0.369548,0.999964,-0.012229,-19.039849,8.532438,1.001472,-0.996092,237
173,0.165419,-0.558767,1.001312,0.021123,-18.874430,7.973671,1.002785,-0.974969,128
174,-0.180940,-0.594450,1.000820,0.036925,-19.055371,7.379221,1.003608,-0.938044,215
175,0.099356,-0.872163,1.000483,0.051193,-18.956015,6.507058,1.004092,-0.886851,241
176,0.336515,-0.522002,1.000021,0.057054,-18.619499,5.985056,1.004113,-0.829796,243
177,0.418822,0.500837,0.999223,-0.024433,-18.200677,6.485893,1.003333,-0.854230,226
178,0.458686,0.944842,0.999314,-0.032582,-17.741992,7.430735,1.002645,-0.886811,224
179,0.241172,0.883135,0.998925,-0.009904,-17.500820,8.313870,1.001567,-0.896715,222
180,2.061635,1.661019,0.997541,-0.001668,-15.439185,9.974889,0.999104,-0.898383,179
181,-0.490471,0.013365,1.000346,-0.024461,-15.929656,9.988254,0.999450,-0.922844,236
182,-1.003524,-0.027629,1.001523,-0.034632,-16.933180,9.960625,1.000972,-0.957476,208
